                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2312,                  4.161,                 1.1253,                0.00671,                0.18977,                0.01733,                0.00789,                 1.0376,                 4.3397,                 1.2025,              4.614e-05,              4.614e-05,              4.614e-05
                      2,                 1.1074,                 3.9969,                 1.1351,                0.00757,                0.19181,                0.03861,                0.02043,                0.88124,                 4.2554,                 1.0898,             9.7991e-05,             9.7991e-05,             9.7991e-05
                      3,                 1.0634,                 3.9198,                 1.1059,                0.01034,                 0.2037,                0.08644,                0.05051,                0.77482,                 4.1995,                 1.0137,             0.00014771,             0.00014771,             0.00014771
                      4,                 1.0181,                 3.7905,                 1.0552,                0.01012,                0.19712,                0.12315,                0.08374,                0.76444,                 4.1638,                0.99666,              0.0001953,              0.0001953,              0.0001953
                      5,                0.98978,                 3.4484,                 1.0288,                0.01284,                0.22098,                0.13635,                0.11489,                0.72816,                 4.0537,                0.97014,             0.00024075,             0.00024075,             0.00024075
                      6,                0.93485,                   3.17,                 1.0244,                0.01252,                0.22325,                0.14905,                0.12382,                0.72394,                  3.877,                0.97362,             0.00028408,             0.00028408,             0.00028408
                      7,                0.97011,                 2.9138,                 1.0266,                0.01252,                0.22325,                0.14905,                0.12382,                0.72394,                  3.877,                0.97362,             0.00032527,             0.00032527,             0.00032527
                      8,                 1.0422,                 2.7898,                  1.016,                      1,                0.08334,                0.15858,                0.12952,                0.75289,                 3.5544,                0.99521,             0.00036433,             0.00036433,             0.00036433
                      9,                 1.0712,                 2.7503,                 1.0283,                0.99024,                0.13514,                0.18953,                0.15402,                0.85044,                 3.0724,                  1.102,             0.00040126,             0.00040126,             0.00040126
                     10,                 1.0679,                 2.4883,                 1.0611,                0.99024,                0.13514,                0.18953,                0.15402,                0.85044,                 3.0724,                  1.102,             0.00043606,             0.00043606,             0.00043606
                     11,                 1.1151,                 2.5678,                 1.1168,                0.92623,                0.15268,                0.20341,                0.16079,                 1.0514,                 2.9425,                 1.3437,             0.00046872,             0.00046872,             0.00046872
                     12,                 1.0461,                 2.4508,                 1.0859,                0.92623,                0.15268,                0.20341,                0.16079,                 1.0514,                 2.9425,                 1.3437,             0.00049925,             0.00049925,             0.00049925
                     13,                 1.0844,                 2.2768,                  1.078,                0.86341,                0.20658,                0.21237,                0.16606,                 1.1238,                 5.7698,                 1.4471,             0.00052766,             0.00052766,             0.00052766
                     14,                 1.1187,                 2.3866,                 1.0639,                0.86341,                0.20658,                0.21237,                0.16606,                 1.1238,                 5.7698,                 1.4471,             0.00055393,             0.00055393,             0.00055393
                     15,                  1.001,                 2.2394,                 1.0283,                 0.8373,                0.21608,                 0.2278,                0.17907,                 1.0836,                  3.317,                 1.3241,             0.00055583,             0.00055583,             0.00055583
                     16,                0.99696,                 2.0198,                 1.0015,                 0.8373,                0.21608,                 0.2278,                0.17907,                 1.0836,                  3.317,                 1.3241,             0.00055583,             0.00055583,             0.00055583
                     17,                 1.0387,                 2.0349,                 1.0399,                0.72697,                0.29543,                0.24508,                0.18962,                0.99277,                 2.4882,                 1.2614,             0.00054061,             0.00054061,             0.00054061
                     18,                 0.9823,                 2.0838,                 1.0363,                0.72697,                0.29543,                0.24508,                0.18962,                0.99277,                 2.4882,                 1.2614,             0.00052538,             0.00052538,             0.00052538
                     19,                 1.0526,                 2.2245,                 1.0397,                0.72697,                0.29543,                0.24508,                0.18962,                0.99277,                 2.4882,                 1.2614,             0.00051015,             0.00051015,             0.00051015
                     20,                 1.0155,                 1.8913,                 1.0256,                0.75827,                0.32379,                0.28064,                 0.2009,                0.97999,                  2.359,                 1.2179,             0.00049493,             0.00049493,             0.00049493
                     21,                 1.0674,                 2.1808,                 1.0589,                0.75827,                0.32379,                0.28064,                 0.2009,                0.97999,                  2.359,                 1.2179,              0.0004797,              0.0004797,              0.0004797
                     22,                 1.1446,                  2.296,                 1.0383,                0.76287,                 0.3049,                 0.2957,                0.20156,                0.98997,                 2.5722,                 1.2212,             0.00046448,             0.00046448,             0.00046448
                     23,                 1.1009,                 1.9275,                 1.0926,                0.76287,                 0.3049,                 0.2957,                0.20156,                0.98997,                 2.5722,                 1.2212,             0.00044925,             0.00044925,             0.00044925
                     24,                 1.1221,                 2.1879,                 1.0584,                0.72873,                0.33101,                0.30277,                0.21051,                0.91723,                 2.7695,                 1.1459,             0.00043402,             0.00043402,             0.00043402
                     25,                 1.0188,                 1.9027,                 1.0031,                0.72873,                0.33101,                0.30277,                0.21051,                0.91723,                 2.7695,                 1.1459,              0.0004188,              0.0004188,              0.0004188
                     26,                 1.0084,                 2.1099,                 1.0336,                 0.7683,                0.34584,                0.36919,                0.26584,                0.86283,                 2.6644,                  1.083,             0.00040357,             0.00040357,             0.00040357
                     27,                 1.0182,                 1.8163,                 1.0027,                 0.7683,                0.34584,                0.36919,                0.26584,                0.86283,                 2.6644,                  1.083,             0.00038835,             0.00038835,             0.00038835
                     28,                 1.0845,                 1.9249,                 1.0141,                 0.7683,                0.34584,                0.36919,                0.26584,                0.86283,                 2.6644,                  1.083,             0.00037312,             0.00037312,             0.00037312
                     29,                 1.0658,                 1.9103,                 1.0426,                0.81589,                0.31723,                 0.4224,                0.30616,                0.86425,                 2.1839,                 1.0647,             0.00035789,             0.00035789,             0.00035789
                     30,                 1.0177,                 1.9212,                0.98707,                0.81589,                0.31723,                 0.4224,                0.30616,                0.86425,                 2.1839,                 1.0647,             0.00034267,             0.00034267,             0.00034267
                     31,                 1.0205,                 2.0144,                 1.0411,                0.85054,                0.31812,                 0.4482,                0.32007,                0.85511,                 1.9582,                 1.0577,             0.00032744,             0.00032744,             0.00032744
                     32,                 0.9885,                 1.8169,                  1.011,                0.85054,                0.31812,                 0.4482,                0.32007,                0.85511,                 1.9582,                 1.0577,             0.00031221,             0.00031221,             0.00031221
                     33,                 1.0201,                 1.6948,                 1.0392,                0.85182,                0.35857,                0.48258,                0.34134,                0.77257,                 1.8715,                0.98015,             0.00029699,             0.00029699,             0.00029699
                     34,                0.98376,                 1.8132,                 1.0207,                0.85182,                0.35857,                0.48258,                0.34134,                0.77257,                 1.8715,                0.98015,             0.00028176,             0.00028176,             0.00028176
                     35,                0.95483,                 1.7876,                 1.0045,                0.85182,                0.35857,                0.48258,                0.34134,                0.77257,                 1.8715,                0.98015,             0.00026654,             0.00026654,             0.00026654
                     36,                 1.0395,                 1.9526,                 1.0514,                0.69204,                0.46628,                 0.5094,                0.36978,                0.75046,                 1.8197,                0.96965,             0.00025131,             0.00025131,             0.00025131
                     37,                0.92887,                 1.7423,                 1.0181,                0.69204,                0.46628,                 0.5094,                0.36978,                0.75046,                 1.8197,                0.96965,             0.00023608,             0.00023608,             0.00023608
                     38,                 1.0561,                 2.0113,                 1.0304,                0.73606,                0.48804,                0.53126,                 0.3914,                0.74194,                 1.8781,                0.97239,             0.00022086,             0.00022086,             0.00022086
                     39,                0.87697,                 1.6185,                0.99177,                0.73606,                0.48804,                0.53126,                 0.3914,                0.74194,                 1.8781,                0.97239,             0.00020563,             0.00020563,             0.00020563
                     40,                0.91211,                 1.6061,                0.97905,                0.75883,                 0.5149,                0.54092,                0.40425,                0.73509,                 1.8265,                0.97358,              0.0001904,              0.0001904,              0.0001904
                     41,                0.95943,                  2.111,                  1.065,                0.75883,                 0.5149,                0.54092,                0.40425,                0.73509,                 1.8265,                0.97358,             0.00017518,             0.00017518,             0.00017518
                     42,                0.95979,                 2.6894,                 1.0559,                  0.815,                0.48383,                 0.5409,                0.40548,                0.72992,                 1.7971,                0.96679,             0.00015995,             0.00015995,             0.00015995
                     43,                0.88187,                 2.2202,                 1.0628,                  0.815,                0.48383,                 0.5409,                0.40548,                0.72992,                 1.7971,                0.96679,             0.00014473,             0.00014473,             0.00014473
                     44,                0.88893,                 2.1748,                0.97201,                  0.815,                0.48383,                 0.5409,                0.40548,                0.72992,                 1.7971,                0.96679,              0.0001295,              0.0001295,              0.0001295
                     45,                0.89537,                 1.9317,                0.99831,                 0.7845,                0.49531,                0.53949,                0.40127,                0.73625,                 1.8382,                0.96847,             0.00011427,             0.00011427,             0.00011427
                     46,                0.91023,                 2.1519,                0.99691,                 0.7845,                0.49531,                0.53949,                0.40127,                0.73625,                 1.8382,                0.96847,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     47,                0.93619,                 2.1297,                 1.0096,                0.76408,                0.47998,                0.52986,                0.39591,                0.73661,                 1.8353,                0.97127,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     48,                0.98806,                 1.9928,                 1.0296,                0.76408,                0.47998,                0.52986,                0.39591,                0.73661,                 1.8353,                0.97127,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     49,                 1.0349,                 1.8878,                 1.0142,                0.75434,                0.49868,                0.53546,                0.40225,                0.74552,                 1.8935,                0.98085,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     50,                   1.01,                 1.8577,                 1.0361,                0.75434,                0.49868,                0.53546,                0.40225,                0.74552,                 1.8935,                0.98085,             3.8142e-05,             3.8142e-05,             3.8142e-05
