                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1787,                 3.6538,                 1.4151,                0.01304,                   0.26,                0.02701,                0.01509,                 1.0589,                  3.888,                 1.3954,              4.444e-05,              4.444e-05,              4.444e-05
                      2,                 1.4292,                 3.7111,                 1.4962,                0.01762,                   0.29,                0.13969,                0.10403,                0.85454,                 3.7913,                 1.2149,              9.801e-05,              9.801e-05,              9.801e-05
                      3,                  1.263,                 3.6931,                 1.5763,                0.01774,                   0.39,                0.19634,                0.15408,                0.84986,                 3.7611,                 1.1897,             0.00014938,             0.00014938,             0.00014938
                      4,                 1.1616,                 3.4629,                 1.3418,                0.01947,                   0.39,                0.20812,                 0.1558,                 1.0617,                 3.7042,                  1.232,             0.00019855,             0.00019855,             0.00019855
                      5,                0.99157,                 3.2002,                  1.321,                0.02431,                  0.405,                0.21151,                0.15149,                 1.1802,                  3.639,                  1.247,             0.00024552,             0.00024552,             0.00024552
                      6,                 1.0041,                 2.9369,                 1.3252,                0.02794,                   0.41,                0.22287,                0.15906,                 1.0915,                  3.545,                   1.24,             0.00029029,             0.00029029,             0.00029029
