                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.82025,                  1.522,                 1.0271,                0.95238,                  0.295,                0.35512,                0.28352,                0.65759,                 2.0069,                 1.0599,             0.00038507,             0.00038507,             0.00038507
                     36,                0.79016,                 1.5101,                 1.0153,                0.95238,                  0.295,                0.35512,                0.28352,                0.65759,                 2.0069,                 1.0599,             0.00036307,             0.00036307,             0.00036307
                     37,                0.83886,                 1.4747,                 1.1024,                0.97212,                0.29948,                0.37047,                0.30155,                0.66183,                 1.6989,                 1.0567,             0.00034108,             0.00034108,             0.00034108
                     38,                0.85003,                 1.4673,                0.98834,                0.97212,                0.29948,                0.37047,                0.30155,                0.66183,                 1.6989,                 1.0567,             0.00031908,             0.00031908,             0.00031908
                     39,                 0.8127,                 1.3791,                 1.0457,                0.97212,                0.29948,                0.37047,                0.30155,                0.66183,                 1.6989,                 1.0567,             0.00029708,             0.00029708,             0.00029708
                     40,                0.76411,                 1.3326,                0.98367,                0.95647,                0.30169,                0.39493,                0.32753,                 0.6512,                 1.5774,                 1.0531,             0.00027508,             0.00027508,             0.00027508
                     41,                0.91039,                 2.3912,                 1.0435,                0.95647,                0.30169,                0.39493,                0.32753,                 0.6512,                 1.5774,                 1.0531,             0.00025309,             0.00025309,             0.00025309
                     42,                 1.3282,                 3.9298,                 1.4292,                0.95647,                0.30169,                0.39493,                0.32753,                 0.6512,                 1.5774,                 1.0531,             0.00023109,             0.00023109,             0.00023109
                     43,                0.80844,                 2.1467,                 1.0739,                0.97266,                0.29967,                0.46515,                0.38409,                 0.6668,                 1.5602,                 1.0755,             0.00020909,             0.00020909,             0.00020909
                     44,                0.99041,                 1.8537,                 1.0639,                0.97266,                0.29967,                0.46515,                0.38409,                 0.6668,                 1.5602,                 1.0755,             0.00018709,             0.00018709,             0.00018709
                     45,                0.86931,                 2.0832,                 1.0551,                0.97266,                0.29967,                0.46515,                0.38409,                 0.6668,                 1.5602,                 1.0755,             0.00016509,             0.00016509,             0.00016509
                     46,                0.82992,                 2.3419,                 1.2491,                0.98353,                0.30994,                0.47062,                0.38173,                0.65335,                 1.5514,                 1.0449,              0.0001431,              0.0001431,              0.0001431
                     47,                0.99639,                 3.2015,                 1.0482,                0.98353,                0.30994,                0.47062,                0.38173,                0.65335,                 1.5514,                 1.0449,              0.0001211,              0.0001211,              0.0001211
                     48,                0.94125,                 2.0562,                  1.187,                0.98353,                0.30994,                0.47062,                0.38173,                0.65335,                 1.5514,                 1.0449,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                 1.0567,                 2.2582,                 1.1723,                0.98353,                0.30994,                0.47062,                0.38173,                0.65335,                 1.5514,                 1.0449,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                0.76883,                 2.3022,                 1.0365,                0.98411,                0.32303,                0.46878,                0.38383,                0.65521,                 1.5782,                 1.0483,             5.5106e-05,             5.5106e-05,             5.5106e-05
