                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1787,                 3.6538,                 1.4151,                0.01304,                   0.26,                0.02701,                0.01509,                 1.0589,                  3.888,                 1.3954,              4.444e-05,              4.444e-05,              4.444e-05
                      2,                 1.4292,                 3.7111,                 1.4962,                0.01762,                   0.29,                0.13969,                0.10403,                0.85454,                 3.7913,                 1.2149,              9.801e-05,              9.801e-05,              9.801e-05
                      3,                  1.263,                 3.6931,                 1.5763,                0.01774,                   0.39,                0.19634,                0.15408,                0.84986,                 3.7611,                 1.1897,             0.00014938,             0.00014938,             0.00014938
                      4,                 1.1616,                 3.4629,                 1.3418,                0.01947,                   0.39,                0.20812,                 0.1558,                 1.0617,                 3.7042,                  1.232,             0.00019855,             0.00019855,             0.00019855
                      5,                0.99157,                 3.2002,                  1.321,                0.02431,                  0.405,                0.21151,                0.15149,                 1.1802,                  3.639,                  1.247,             0.00024552,             0.00024552,             0.00024552
                      6,                 1.0041,                 2.9369,                 1.3252,                0.02794,                   0.41,                0.22287,                0.15906,                 1.0915,                  3.545,                   1.24,             0.00029029,             0.00029029,             0.00029029
                      7,                 1.3323,                  3.521,                 1.5541,                0.88439,                0.18278,                0.23829,                0.16946,                  1.025,                 3.4218,                 1.2199,             0.00033286,             0.00033286,             0.00033286
                      8,                0.82469,                  2.422,                 1.1394,                0.88439,                0.18278,                0.23829,                0.16946,                  1.025,                 3.4218,                 1.2199,             0.00037324,             0.00037324,             0.00037324
                      9,                0.66621,                 2.1573,                 1.1632,                0.02993,                   0.42,                0.25995,                0.18465,                0.96899,                 3.2812,                 1.2022,             0.00041141,             0.00041141,             0.00041141
                     10,                 1.0016,                 2.3217,                 1.2938,                0.03259,                  0.455,                0.16983,                 0.1162,                0.89565,                 3.0124,                 1.1974,             0.00044738,             0.00044738,             0.00044738
                     11,                 1.1435,                 2.3439,                 1.2509,                0.03259,                  0.455,                0.16983,                 0.1162,                0.89565,                 3.0124,                 1.1974,             0.00048115,             0.00048115,             0.00048115
                     12,                 1.0524,                 2.3093,                 1.2805,                0.72555,                0.05907,                0.14041,                0.09336,                0.91139,                 2.7442,                 1.2085,             0.00051272,             0.00051272,             0.00051272
                     13,                0.78102,                 1.8606,                  1.098,                0.72555,                0.05907,                0.14041,                0.09336,                0.91139,                 2.7442,                 1.2085,              0.0005421,              0.0005421,              0.0005421
                     14,                0.84545,                 2.0248,                 1.2143,                0.72555,                0.05907,                0.14041,                0.09336,                0.91139,                 2.7442,                 1.2085,             0.00056927,             0.00056927,             0.00056927
                     15,                0.86851,                 2.3635,                 1.2874,                 0.7793,                   0.19,                0.20288,                0.13417,                0.97109,                 2.3262,                 1.3009,             0.00059424,             0.00059424,             0.00059424
                     16,                 1.1037,                 2.3595,                 1.4367,                 0.7793,                   0.19,                0.20288,                0.13417,                0.97109,                 2.3262,                 1.3009,             0.00061702,             0.00061702,             0.00061702
                     17,                 1.2471,                 3.0324,                 1.3044,                 0.7793,                   0.19,                0.20288,                0.13417,                0.97109,                 2.3262,                 1.3009,             0.00063759,             0.00063759,             0.00063759
                     18,                 1.1476,                 1.9904,                 1.2369,                0.86227,                0.27313,                0.27983,                0.17956,                 1.0528,                 2.1189,                 1.4181,             0.00065596,             0.00065596,             0.00065596
                     19,                 1.1445,                  2.534,                 1.3259,                0.86227,                0.27313,                0.27983,                0.17956,                 1.0528,                 2.1189,                 1.4181,             0.00067214,             0.00067214,             0.00067214
